image_path,dataset,foreground_fraction,n_components,largest_component_fraction,sam_score
data\raw\riceleafbd\Bacterial Leaf Blight\310939144_520951129667148_9028737506706713083_n.jpg,riceleafbd,0.1374905397095691,1,0.1374905397095691,0.9871354103088379
data\raw\riceleafbd\Bacterial Leaf Blight\310957993_531393051801796_7180472141142317761_n (1).jpg,riceleafbd,0.5246836419753086,1,0.5246836419753086,1.0001649856567383
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n (1).jpg,riceleafbd,0.08820756968308514,1,0.08820756968308514,0.9931508898735046
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n (2).jpg,riceleafbd,0.08820756968308514,1,0.08820756968308514,0.9931508898735046
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n.jpg,riceleafbd,0.08820756968308514,1,0.08820756968308514,0.9931508898735046
data\raw\riceleafbd\Bacterial Leaf Blight\310962820_3246774055651160_4343341207776874939_n.jpg,riceleafbd,0.015378040762656147,1,0.015378040762656147,0.981110692024231
data\raw\riceleafbd\Bacterial Leaf Blight\310973863_659588705790448_79279918050844787_n.jpg,riceleafbd,0.8571713456226394,1,0.8571713456226394,0.9468677043914795
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n (1).jpg,riceleafbd,0.5081827042353358,1,0.5081827042353358,0.9924050569534302
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n (2).jpg,riceleafbd,0.5081827042353358,1,0.5081827042353358,0.9924050569534302
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n.jpg,riceleafbd,0.5081827042353358,1,0.5081827042353358,0.9924050569534302
data\raw\riceleafbd\Bacterial Leaf Blight\310974927_491049266314337_8022843233606053562_n (1).jpg,riceleafbd,0.724353356969251,1,0.724353356969251,0.9771829843521118
data\raw\riceleafbd\Bacterial Leaf Blight\310974927_491049266314337_8022843233606053562_n.jpg,riceleafbd,0.724353356969251,1,0.724353356969251,0.9771829843521118
data\raw\riceleafbd\Bacterial Leaf Blight\310974928_1248138435919353_5243267489632069214_n.jpg,riceleafbd,0.9406904186795492,1,0.9406904186795492,1.0049086809158325
data\raw\riceleafbd\Bacterial Leaf Blight\310986458_1422967054894315_2215338726885638584_n.jpg,riceleafbd,0.21187741054457546,1,0.21187741054457546,0.9942530393600464
data\raw\riceleafbd\Bacterial Leaf Blight\310986470_827527985246219_5182457811937271935_n.jpg,riceleafbd,0.988893271970195,1,0.988893271970195,0.9144328832626343
data\raw\riceleafbd\Bacterial Leaf Blight\310987026_3261889310716732_1126130837070880892_n.jpg,riceleafbd,0.06063142515138713,1,0.06063142515138713,0.9785845875740051
data\raw\riceleafbd\Bacterial Leaf Blight\310989352_452640626791616_6700188349420952797_n.jpg,riceleafbd,0.055161078238001315,1,0.055161078238001315,0.9919829964637756
data\raw\riceleafbd\Bacterial Leaf Blight\310989352_840479063762307_7205381542363703990_n.jpg,riceleafbd,0.9946836186639813,1,0.9946836186639813,0.9957292079925537
data\raw\riceleafbd\Bacterial Leaf Blight\311006291_1283093285821857_4533140281566325969_n.jpg,riceleafbd,0.9428860145513339,1,0.9428860145513339,0.7749700546264648
data\raw\riceleafbd\Bacterial Leaf Blight\311024973_1610391142753270_631261596346559709_n.jpg,riceleafbd,0.2121711493239271,1,0.2121711493239271,0.9897819757461548
data\raw\riceleafbd\Bacterial Leaf Blight\311039233_647379983529818_3179780877140814952_n (1).jpg,riceleafbd,0.01641518737672584,1,0.01641518737672584,0.9750881195068359
data\raw\riceleafbd\Bacterial Leaf Blight\311039233_647379983529818_3179780877140814952_n.jpg,riceleafbd,0.01641518737672584,1,0.01641518737672584,0.9750881195068359
data\raw\riceleafbd\Bacterial Leaf Blight\311120128_827872505301907_5738768674890653677_n.jpg,riceleafbd,0.0054992779476724435,1,0.0054992779476724435,0.9674775004386902
data\raw\riceleafbd\Bacterial Leaf Blight\311127088_3070769586478834_593695714921536743_n.jpg,riceleafbd,0.12691439380072,1,0.12691439380072,1.0026965141296387
data\raw\riceleafbd\Bacterial Leaf Blight\311146649_1109249426367992_2020093549392706267_n.jpg,riceleafbd,0.9722370535714285,1,0.9722370535714285,0.9425903558731079
data\raw\riceleafbd\Bacterial Leaf Blight\311150408_1181671116062665_4258769257725963297_n.jpg,riceleafbd,0.08206552706552707,1,0.08206552706552707,0.9706798791885376
data\raw\riceleafbd\Bacterial Leaf Blight\311155755_667001898417987_5463193008355939533_n.jpg,riceleafbd,0.4564092990840303,1,0.4564092990840303,0.9879003763198853
data\raw\riceleafbd\Bacterial Leaf Blight\311162571_5469448139777618_6986294095882567716_n (1).jpg,riceleafbd,0.19558678500986193,1,0.19558678500986193,0.9999059438705444
